1069380051534262272,"El meu gos, quan és a sobre del sofà mossegant una joguina i li cau a terra, rasca el sofà compulsivament com si així hagués de fer-la tornar a pujar. Molt fan d'aquest raonament."
1069380036690669568,Farem bé d'anar esmolant les falçs...
1069380018801950721,"I anar passant. L'esquerra espanyola, blanquejadora eterna del feixisme, a seguir banyant-se en el seu perpetu  fangar intelectual. https://t.co/5ve1qUHb8l"
1069379976791769091,"@jordana_joan @Virgili7 Es espectacular la lluminaria, tant com la barra que tenen."
1069379938774671362,"@yeyaboya Vàrem votar independència i ha de ser la nostra fita. Ells han votat el ""a por ellos '"
1069379867773468672,"@vpartal @miqueliceta Iceta rius tan després dels resultats d'Andalucia, per culpa vostra."
1069379859636457474,"Que jo sàpiga un comunista sap i afirma que el patriarcat és producte de la societat de classes, la qual també es perpetua gràcies a ell. Quina mena de comunista ets per a negar l'organització social necessària per a perpetuar el sistema econòmic actual."
1069379836320382977,"Guanya la República però només han votat a Madrid 22.000 persones....
què dirien si haguessin estat més d'un milió com al 9N aquí?
      són 4 gats malauradament
https://t.co/52sz7LpU8t"
1069379795765600256,@JaumeAlonsoCuev Son la mort i el terror. I ja els tenim aquí. No podem retrocedir més.
1069379773024079872,"Els Comuns van ser uns visionaris quan van dir que amb Podemos tot canviaria a Espanya, que pujarien les esquerres, i que un cop al poder, promourien un referèndum a Catalunya."
1069379737410289664,"Clar i català: Que els fotin als ""nostres germans republicans espanyols""  primer hem de preocupar-nos de la nostra terra, ells que s'ho fagin com puguin com estem intentant fer nosaltres i no precisament recolzats per una majoria d'ells. https://t.co/geli5fd6vk"
1069379705147580418,"ACTUALITAT: ""La Pobla es retroba amb la victòria"" https://t.co/0b9XRDSORx https://t.co/JlxPhu03G9"
1069379659392057344,"@aleixramia Qüestiona el que vulguis, però en màrqueting polític big data = segmentació electoral. I en això han sigut, de llarg, els millors. I per a això no cal pen drives de dades, ni parlar amb cap operadora de telefonia mòbil. El què cal, és saber-ne."
1069379659102650369,"Aquest subnormal celebra el que pot ser la fi de la seva estimada Espanya. No us rigueu d'ell, el pobre no rep oxigen al cervell. https://t.co/eskL6BL1re"
1069379653918498816,"Totalment. La ruptura del #Règimdel78 igual no és de la manera q alguns voldríem. El resultat a Andalusia és l'acte de ruptura amb la #Constitució més gran en molt de temps a l'Estat, més q els jocs florals i la gesticulació indepe nostrada. https://t.co/hrl4l9cnAb"
1069379653876498432,"Demà mateix els partits independentistes catalans que volen ampliar les bases, aniran a Andalusia a convèncer gent. Oi que si?
Au va...
#Unilateralitat #DUI"
